friends_count,followers_count,tidy_tweet,tweet_source,tidy_Location
4,45,agege nnamani decry attacks nigerians read more https gcoip #saynotoxenophobia https zaitaiucs,First Reports,Uyo  Nigeria
1008,1013,burna like president buhari #wenogetpresident #xenophobiainsouthafrica #xenophobicattack https,Android,wherever there s POSITIVITY
125,123,pity nigeria without leader chai government failure #wenogetpresident,Android,Lagos  Nigeria
583,3932,naso nigeria nigerians,Android,Worldwide
1413,1340,this country joke government arrest bobrisky call national disgrace keep mute when nigerians,Android,planet earth 
338,231,reacting this xenophobia should rock ablaze thief that chair #dearmrpresident sits,Android,Lagos  Nigeria
26,0,#wenogetpresident#saysomething ugly https ufkkuinplc,Android,Victoria Island  Nigeria
6082,6537,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Android,Lagos  Nigeria
612,394,people that voted twice tweeting #wenogetpresident,Android,Kano  Nigeria
4999,1487,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Web App,Austin  Tx
932,5535,lmao whaaatttt,Iphone,Abuja NYC
3719,3837,that sending envoy from nigeria takes days https gvsa,Android,   Nigeria   
206,99,solution xenophobic attack nigerians living south africa since #wenogetpresident expel south african ambassad,Android,Nigeria
932,5535,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Iphone,Abuja NYC
475,221,thousands nigerians killed right here nigeria nobody hangs expect outsiders https jrckbwebo,Android,Abuja
177,126,just unfollowed kate henshaw people same must drop followers send message brands,Iphone,Lagos
1739,1864,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Android,Minna  Nigeria
1130,312,toke makinwa kate henshaw dremo lagg they want igbos will protect ourselves since nigeria,Android,Warri
579,434,nigerian owned shops putting disclaimers wake attacks businesses nigeria #xenophobiainso,Android,Nigeria
410,144,https mhidjq,Web App,
233,132,fought together freedom fought together independence kill ourselves xenophobia #wenog,Android,Addis Ababa  Ethiopia 
15175,20451,yesterday ycee peruzzi vector told shut said loves naija toke makinwa dremo kate henshaw tweeted,Iphone,Somewhere In West Africa
810,1070,person nigeria government need send strong decisive message south africa stop this menace nigerians,Android,Lagos  Nigeria
1212,1127,government this country everybody #wenogetpresident https qlbg,Android,Wakanda  
231,380,only north could late asus mean well nigeria instead they turn blind licking https xjqzdubeyi,Android,Ibadan Nigeria  
198,59,abacha evil dictator pretty sure were alive this time envoy would troops,Android,Jos
368,1086,nigeria travelled just take care your family doing legit business after while killed,Iphone,Sent from above
3719,3837,true https oteqt xlcl,Android,   Nigeria   
310,334,settle this like buhari retweet burna #wenogetpresident #saynotoxenophobia https ocjoin,Android,Abuja  Nigeria
1049,1134,fastest growing economies africa ghana ethiopia djibouti senegal,Android,Lagos  Nigeria
1904,1206,#wenogetpresident,Android,Lagos  Nigeria
65,39,when nigeria crash burns worried killed #wenogetpresident https iinxubqmfk,Android,Victoria Island  Nigeria
470,31,tomorrow thursday reach traffic road from nigeria south africa https,Iphone,
114,100,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Iphone,Ikeja  Nigeria
1329,1449,thread boycott dstv simply because premier league download data friendly stre,Iphone,Nigeria
10,0,this gave goosebumps #saynotoxenophobia #wenogetpresident https yjdhbasch,Android,
5630,7670,bravo government that fought bobrisky fight xenophobia #wenogetpresident,Iphone,Not on planet earth 
18910,36994,like there time wastage with that https wjafs,Android,T M D C worldwide 
604,614,were cows that killing they have seen wrath president were about cutting lawmakers,Android,
726,285,this nigeria,Android,Somewhere in Africa 
296,282,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Android,Lagos  Nigeria
